Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time,Private_Time_Requirements,Guest_Frequency_Preference,Faculty,Attitude_towards_Roommate_Smoking,Ideal_Study_Environment_Description_encoded,Attitude_towards_Borrowing_Sharing,Description_of_Personal_Room_At_Home_encoded,Desired_Room_Attributes_encoded,Study_Time_Preference,Conflict_Handling_Method_encoded,Communication_Preference_with_Roommate,Age_normalized,id
0.0,0.0,0.0,1.0,2.0,1,2,2,0,0,2,2,2,0,0.2786342473088685,104
0.0,1.0,0.0,1.0,2.0,1,0,2,0,3,0,2,3,0,-0.5052159429226737,105
1.0,3.0,3.0,1.0,4.0,2,2,2,0,3,0,1,3,0,0.2786342473088685,106
3.0,2.0,2.0,1.0,1.0,2,0,0,2,3,0,2,3,0,1.0624844375404108,107
3.0,1.0,0.0,1.0,1.0,1,2,2,0,0,0,2,3,0,-0.5052159429226737,108
3.0,3.0,1.0,2.0,2.0,1,2,0,0,3,0,2,0,2,1.0624844375404108,110
0.0,1.0,0.0,1.0,0.0,1,2,2,1,3,2,2,3,2,-0.5052159429226737,111
1.0,4.0,0.0,1.0,2.0,5,2,2,0,0,0,2,0,0,1.0624844375404108,113
3.0,2.0,3.0,2.0,2.0,7,0,2,0,3,0,1,1,0,0.2786342473088685,114
2.0,2.0,0.0,2.0,1.0,1,1,2,0,1,2,2,2,0,1.0624844375404108,115
3.0,1.0,2.0,1.0,2.0,1,1,0,2,3,0,0,2,0,1.0624844375404108,116
2.0,2.0,0.0,1.0,0.0,1,1,2,1,3,0,2,0,0,0.2786342473088685,117
2.0,1.0,2.0,1.0,2.0,8,0,2,0,0,0,2,3,0,0.2786342473088685,118
2.0,2.0,0.0,2.0,1.0,1,1,2,1,0,2,2,3,0,1.0624844375404108,121
0.0,1.0,0.0,1.0,1.0,8,2,2,0,3,0,2,3,0,1.0624844375404108,122
2.0,2.0,3.0,1.0,1.0,1,2,0,0,3,2,0,0,0,0.2786342473088685,123
0.0,1.0,2.0,1.0,2.0,7,2,0,2,0,0,1,3,0,-1.289066133154216,125
2.0,2.0,3.0,1.0,2.0,7,2,2,0,3,0,1,2,0,-0.5052159429226737,126
