Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time_Preference,Private_Time_Requirements,Guest_Frequency_Preference,Faculty,Attitude_towards_Roommate_Smoking,Ideal_Study_Environment_Description,Attitude_towards_Borrowing_Sharing,Description_of_Personal_Room_At_Home,Desired_Room_Attributes,Study_Time_Preference,Conflict_Handling_Method,Communication_Preference_with_Roommate,Age,id,cluster_label
After midnight,Late,Late night,Some,Often,Medicine,Yes,Background noise,Prefer personal items,Neat,Social & quiet,Background noise,Avoid conflict,Face-to-face,20,62,1.0
After midnight,As late as possible,Late night,Some,Sometimes,Computer Science,Maybe,Background noise,Prefer personal items,Neat,Social & quiet,No preference,Hint jokingly,Face-to-face,21,63,0.0
Around midnight,Somewhat early,Morning,Some,Never,Medicine,Maybe,Background noise,Ask before sharing,Clean and organized,Social & quiet,No preference,Calm,Face-to-face,19,64,1.0
Around midnight,As late as possible,Afternoon,Some,Rarely,Medicine,Yes,Very quiet,Ask before sharing,Neat,Social & quiet,Total quiet,Hint jokingly,Face-to-face,19,65,1.0
Before midnight,Very early,Morning,Some,Sometimes,Medicine,Yes,Very quiet,Prefer personal items,Clean and organized,Social & quiet,Total quiet,Blunt,Face-to-face,20,66,1.0
Before midnight,Somewhat early,Morning,Some,Sometimes,Business,Yes,Very quiet,Ask before sharing,Cluttered,Social & quiet,Background noise,Hint jokingly,Face-to-face,23,67,
Around midnight,Somewhat early,Evening,Significant,Rarely,Science,No,Very quiet,Prefer personal items,Cluttered,Study oriented,No preference,Avoid conflict,Text or messaging apps,23,68,
After midnight,Very early,Morning,Some,Never,Computer Science,Yes,Background noise,Ask before sharing,Neat,Social & quiet,No preference,Hint jokingly,Face-to-face,19,69,0.0
After midnight,Late,Evening,Significant,Rarely,Engineering,No,Very quiet,Ask before sharing,Neat,Study oriented,Background noise,Avoid conflict,Face-to-face,23,70,
Before midnight,Late,Afternoon,Significant,Rarely,Medicine,Yes,Very quiet,Ask before sharing,Neat,Social & quiet,Total quiet,Blunt,Face-to-face,19,71,1.0
Around midnight,Somewhat early,Morning,Some,Sometimes,Computer Science,Yes,Very quiet,Ask before sharing,Clean and organized,Social & quiet,No preference,Blunt,Face-to-face,20,72,0.0
