Id,Gender,Age,daily routine,Living Environment,Cooking at Home,pet owner,Smoking,Sociable,hobbies & activities,communication method,important roommate qualities,study habits,physical exercise
3202,Female,< 18,Balanced Throughout the Day,Quiet,Occasionally,no,Non-Smoker,Prefer Privacy,"Music, Movies/TV, Gaming",In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3203,Female,< 18,Early Riser,Lively,Rarely,no,Non-Smoker,Prefer Privacy,"Sports, Music, Movies/TV, Outdoor Activities",In-person,Cleanliness,quiet and focused,Frequently (3-4 times a week)
3204,Female,18,Balanced Throughout the Day,Balanced,Occasionally,no,Non-Smoker,Open to Socializing,Outdoor Activities,In-person,Respectful,quiet and focused,Rarely (once a month or less)
3205,Female,18,Early Riser,Quiet,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Music",Text,Friendly,quiet and focused,Rarely (once a month or less)
3206,Female,18,Night Owl,Balanced,Occasionally,no,Non-Smoker,Prefer Privacy,"Movies/TV, Gaming",Text,Responsible,collaborative,Never
3207,Female,< 18,Balanced Throughout the Day,Lively,Rarely,no,Non-Smoker,Open to Socializing,Reading,In-person,Respectful,prefer background noise,Regularly (1-2 times a week)
3208,Female,18,Early Riser,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV",Text,Respectful,quiet and focused,Frequently (3-4 times a week)
3209,Female,< 18,Balanced Throughout the Day,Lively,Occasionally,yes,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,prefer background noise,Occasionally (1-2 times a month)
3210,Female,18,Early Riser,Quiet,Occasionally,no,Non-Smoker,Prefer Privacy,"Reading, Sports",In-person,Responsible,quiet and focused,Regularly (1-2 times a week)
3211,Female,< 18,Early Riser,Quiet,Occasionally,no,Non-Smoker,Open to Socializing,"Reading, Music, Movies/TV, Outdoor Activities",In-person,Cleanliness,quiet and focused,Occasionally (1-2 times a month)
3212,Female,< 18,Early Riser,Balanced,Regularly,no,Non-Smoker,Open to Socializing,Sports,In-person,Cleanliness,collaborative,Occasionally (1-2 times a month)
3213,Female,< 18,Night Owl,Balanced,Rarely,yes,Non-Smoker,Prefer Privacy,Movies/TV,In-person,Friendly,collaborative,Rarely (once a month or less)
3214,Female,18,Balanced Throughout the Day,Lively,Rarely,yes,Non-Smoker,Open to Socializing,"Reading, Sports, Outdoor Activities",In-person,Cleanliness,prefer background noise,Occasionally (1-2 times a month)
