Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time,Private_Time_Requirements,Guest_Frequency_Preference,Faculty,Attitude_towards_Roommate_Smoking,Ideal_Study_Environment_Description_encoded,Attitude_towards_Borrowing_Sharing,Description_of_Personal_Room_At_Home_encoded,Desired_Room_Attributes_encoded,Study_Time_Preference,Conflict_Handling_Method_encoded,Communication_Preference_with_Roommate,Age_normalized,id,cluster_label
3.0,2.0,3.0,2.0,2.0,7,0,2,0,3,0,1,1,0,0.2786342473088685,114,1
2.0,2.0,0.0,2.0,1.0,1,1,2,0,1,2,2,2,0,1.0624844375404108,115,0
3.0,1.0,2.0,1.0,2.0,1,1,0,2,3,0,0,2,0,1.0624844375404108,116,0
2.0,2.0,0.0,1.0,0.0,1,1,2,1,3,0,2,0,0,0.2786342473088685,117,0
2.0,1.0,2.0,1.0,2.0,8,0,2,0,0,0,2,3,0,0.2786342473088685,118,1
2.0,2.0,0.0,2.0,1.0,1,1,2,1,0,2,2,3,0,1.0624844375404108,121,0
0.0,1.0,0.0,1.0,1.0,8,2,2,0,3,0,2,3,0,1.0624844375404108,122,1
2.0,2.0,3.0,1.0,1.0,1,2,0,0,3,2,0,0,0,0.2786342473088685,123,0
0.0,1.0,2.0,1.0,2.0,7,2,0,2,0,0,1,3,0,-1.289066133154216,125,1
2.0,2.0,3.0,1.0,2.0,7,2,2,0,3,0,1,2,0,-0.5052159429226737,126,1
2.0,2.0,2.0,2.0,1.0,8,2,2,0,0,2,2,3,0,0.2786342473088685,127,1
2.0,1.0,2.0,2.0,0.0,8,2,2,0,0,2,2,3,0,-1.289066133154216,128,1
1.0,1.0,3.0,2.0,2.0,2,2,2,0,0,0,2,1,0,-0.5052159429226737,129,0
2.0,2.0,2.0,1.0,3.0,2,2,2,0,0,0,1,2,0,-0.5052159429226737,130,0
2.0,1.0,2.0,2.0,1.0,5,2,2,1,0,2,2,2,2,-1.289066133154216,131,1
2.0,1.0,2.0,1.0,2.0,6,2,2,0,3,0,2,0,0,-1.289066133154216,132,1
2.0,2.0,2.0,2.0,4.0,5,2,2,1,0,2,1,2,0,0.2786342473088685,133,1
3.0,0.0,1.0,1.0,1.0,2,2,2,0,3,2,2,1,0,1.0624844375404108,134,0
2.0,4.0,2.0,1.0,2.0,3,2,2,0,0,2,2,0,0,1.0624844375404108,135,0
1.0,2.0,2.0,1.0,3.0,5,1,0,0,3,0,1,2,0,1.0624844375404108,136,1
1.0,1.0,2.0,2.0,2.0,3,1,2,0,0,2,2,1,0,0.2786342473088685,137,0
3.0,2.0,2.0,1.0,3.0,2,2,0,0,0,2,1,3,2,1.0624844375404108,138,0
1.0,1.0,2.0,2.0,2.0,5,1,2,0,3,0,2,0,0,-1.289066133154216,139,1
2.0,0.0,3.0,1.0,1.0,8,1,0,2,2,0,0,1,0,-0.5052159429226737,140,1
2.0,2.0,0.0,1.0,1.0,5,2,2,0,3,0,2,3,0,-0.5052159429226737,141,1
1.0,1.0,2.0,0.0,1.0,8,2,1,0,3,0,0,3,0,-0.5052159429226737,142,1
1.0,2.0,2.0,1.0,1.0,0,0,0,0,0,0,1,1,0,1.0624844375404108,143,0
3.0,1.0,0.0,2.0,2.0,5,1,2,0,1,0,2,1,0,-1.289066133154216,144,1
1.0,1.0,2.0,2.0,2.0,3,1,0,0,3,1,0,2,0,-0.5052159429226737,145,0
3.0,1.0,2.0,1.0,2.0,2,0,0,0,3,0,1,1,0,0.2786342473088685,146,0
2.0,1.0,2.0,2.0,2.0,7,2,2,1,0,2,2,0,0,-0.5052159429226737,147,1
2.0,1.0,3.0,1.0,3.0,5,2,2,2,3,0,1,0,0,-0.5052159429226737,148,1
1.0,0.0,0.0,2.0,2.0,5,1,2,2,0,2,2,3,0,0.2786342473088685,149,1
0.0,1.0,2.0,1.0,2.0,6,2,2,0,0,2,2,2,0,-1.289066133154216,150,1
2.0,1.0,0.0,2.0,2.0,7,2,2,0,0,2,2,2,0,-1.289066133154216,151,1
2.0,0.0,2.0,1.0,2.0,5,2,2,2,3,0,2,2,2,-1.289066133154216,152,1
0.0,1.0,2.0,1.0,2.0,5,2,0,0,3,0,1,3,2,0.2786342473088685,153,1
3.0,1.0,3.0,2.0,2.0,7,2,2,1,3,2,2,1,0,0.2786342473088685,154,1
2.0,2.0,3.0,2.0,0.0,5,2,2,0,0,2,2,0,0,-0.5052159429226737,155,1
1.0,1.0,2.0,2.0,1.0,5,2,2,0,3,2,0,2,0,-0.5052159429226737,156,1
2.0,0.0,0.0,1.0,4.0,5,2,2,0,0,0,2,2,2,1.0624844375404108,157,1
1.0,3.0,2.0,1.0,1.0,5,2,2,0,0,2,2,0,0,0.2786342473088685,158,1
1.0,1.0,3.0,0.0,2.0,1,1,2,1,3,0,2,0,0,0.2786342473088685,159,0
2.0,2.0,0.0,1.0,2.0,7,2,0,0,3,0,2,3,2,-0.5052159429226737,160,1
2.0,2.0,3.0,2.0,0.0,7,2,2,0,3,2,2,3,0,-0.5052159429226737,161,1
2.0,1.0,3.0,1.0,0.0,8,2,0,1,3,2,1,0,2,1.0624844375404108,162,1
1.0,1.0,0.0,2.0,2.0,7,2,1,0,3,2,2,1,0,0.2786342473088685,163,1
1.0,1.0,3.0,2.0,4.0,5,1,2,0,3,0,2,2,0,-1.289066133154216,164,1
2.0,2.0,3.0,1.0,2.0,8,2,2,0,3,0,2,2,2,-1.289066133154216,165,1
2.0,2.0,3.0,1.0,1.0,7,2,2,0,3,0,2,1,0,0.2786342473088685,166,1
2.0,1.0,3.0,1.0,4.0,1,0,0,2,0,2,1,1,0,0.2786342473088685,167,0
2.0,0.0,3.0,2.0,2.0,2,1,2,0,0,2,2,2,0,0.2786342473088685,168,0
